Div,AE,Cust Code,Customer,Buyer,Style,Style Description,SKU No.,Metal Kt,Inception Dt.,OM 1/1/24,Shipped_Qty,Returned_Qty,Net_Sales_2024,Net_Sales_2025_YTD,Open_Memo_Qty,Open_Memo_Amt,Sell_Through_Pct,Expected_Sales_6mo,Excess,RA_Issued,Performance_Category
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,E2528SS-C25,M/M - 1/6 CTW SINGLE STAR EARRING KT,20597574,SS,12/2/2024,0,20,0,4,14,2,98.32,239.78,24,,,Strong Seller
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,N717SS-C25,M/M - 1/5 CTW 2 STAR LAYERED NECK KT,20597689,SS,12/2/2024,0,20,1,7,8,4,358.32,210.33,20,,,Review
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LP2750SS-23,3/4 CTW GRADUATING HEART PENDANT,20597002,SS,12/2/2024,0,1433,13,3,1114,303,24315.75,209.57,1468,,,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,R10871SS-C25,M/M - 1/5 CTW STAR FASHION RING KT,20597586,SS,12/2/2024,0,25,0,10,9,6,395.1,202.48,25,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P2272SS-C22,SILVER 1/10 CTW HEART W/SIDE CROSS PEND,190464709,SS,10/24/2024,0,131,1,106,17,7,176.12,196.22,126,,,Review
AJ,Darshan Samani,JA007,STERLING INC. JARED VAULT,Courtney Francis,PD2279410KY-C28,1/4 CTW DIA CROSS PENDANT,432184202,10K,11/5/2024,0,30,0,22,4,4,399.12,192.89,29,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P2280SS-C22,1/5 CTW KEY PEND,514375308,SS,10/22/2024,0,61,1,43,12,5,224.9,187.97,56,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P3955SS-C22,1/10 CTW MOM HEART PENDANT,200689507,SS,10/24/2024,0,49,1,38,5,5,236.6,185.78,44,,,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,B3343SS-20,IAAP 1/4 CTW HEART SHAPE LINK BRACELE KM,834993002,SS,12/5/2024,0,1200,25,0,796,379,34182.01,184.53,1069,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Tamara Zemlensky,P40896SSBLK-C22,1/5 CTW PRN BLK DIA SS CROSS PEND,135903502,SS,10/24/2024,0,118,2,73,23,20,836.6,171.63,98,,,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE2258SSYV-24,1/2 CTW LCD RD SOL EARRINGS GSI CB,20593728,SS,10/14/2024,0,44,22,11,8,3,270.03,169.48,18,,,Strong Seller
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LB3404SS-23,IAAP 1CTW LCD CUBANLINK DIA BRAC GSI KM,20590051,SS,9/9/2024,0,342,13,327,-1,3,661.29,163.65,266,,ZOM03272025,Strong Seller
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE232810KY-24,1 CTW LCD RD STUDS W SCREW BACKS GSI CB,20591639,10K,9/10/2024,0,410,0,400,3,7,1116.99,163.08,330,,,Review
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LN1809SS-23,IAAP 5 CTW LCD CUBANLINK DIA NECK GSI KM,20590054,SS,9/9/2024,0,170,17,150,1,2,1752.08,163.0,123,,ZOM03272025,Strong Seller
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE232810KW-24,1 CTW LCD RD STUDS W SCREW BACKS GSI CB,20589967,10K,9/10/2024,0,550,0,534,6,10,1595.8,162.89,442,,,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,B2449SS-C25,1/6 CTW SINGLE STAR BRACELET,20597569,SS,12/2/2024,0,20,0,2,10,8,470.32,159.85,16,,,Review
NL,Darshan Samani,S093,STERLING INC. KAY OUTLET,Shunte Dupree,LN1646SS-22,5 5/8 CTW LCD CUBAN LINK MEN NECK GSI SD,378953804,SS,11/11/2024,0,30,1,10,10,9,10766.61,159.32,23,,,Review
NL,Darshan Samani,Z000,ZALE DELAWARE INC.,Amy Bankler,LN200210KY-23,5 CTW LCDTENNIS ETERNITY NECKLACE GSI KM,20589678,10K,8/28/2024,0,331,26,262,35,8,8711.44,152.54,229,,ZOM03272025,Review
AJ,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,E4947SS-24,IAAP 1/8 CTW CUSHION SHP HOOP EARRING CB,20589960,SS,9/9/2024,0,140,1,125,1,13,840.84,149.71,103,,,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,P4089410KTT-C25,1/10TH 10KTT DIAMOND ANCHOR PENDANT,20597585,10K,12/2/2024,0,25,0,4,10,11,1309.99,149.2,18,,,Review
AJ,Darshan Samani,JA007,STERLING INC. JARED VAULT,Courtney Francis,P3536710KW-C28,1/10TH CTW DIAMOND SMALL HEART PENDANT,394183406,10K,11/8/2024,0,50,0,19,13,18,1874.88,145.09,36,,,Review
AJ,Darshan Samani,S093,STERLING INC. KAY OUTLET,Lisa Pitoniak,N1875SS-22,IAAP 1/2CTW RND CLUS MP ETERNITY NEK LP,920361603,SS,8/15/2024,0,266,9,229,17,11,2144.89,142.02,180,,,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Tatyana Grant,LN201110KW-20,IAAP 7 CTW LCD DIA LINK GENTS NEC GSI TG,190372401,10K,8/26/2024,0,276,201,42,26,7,23897.16,140.82,52,,STM02052025,Review
AJ,Darshan Samani,S019,STERLING INC. KAY,Kadee McGinnis ,B3402SS-20,1/10 CTW MIRACLE PLATE BUTCUP TENNIS KL,818578306,SS,8/1/2024,0,5900,88,5742,47,23,1271.44,139.83,4008,,,Review
AJ,Darshan Samani,Z003,ZALE OUTLET,Marina Koval,E422510KY-25,1/5 CTW CUBAN LINK CROSS MENS EARRING MK,20590707,10K,9/10/2024,0,25,9,12,1,3,496.56,134.8,11,,ZOM01202025,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LP4441SSYV-24,1/2 CTW LCD SOL PENDANT GSI CB,20592993,SS,10/4/2024,0,50,25,4,14,7,655.48,134.08,17,,,Review
NL,Darshan Samani,S093,STERLING INC. KAY OUTLET,Shunte Dupree,LP314610KW-22,1/3 CTW LCD CROSS PENDANT GSI CERT SD,394139303,10K,10/31/2024,0,35,1,16,4,14,2549.82,127.04,21,,,Review
AJ,Darshan Samani,JA007,STERLING INC. JARED VAULT,Courtney Francis,P3694710KW-C28,1/10 CTTW DIA PERFECT HEART PENDANT,522373505,10K,11/8/2024,0,50,0,14,14,22,2479.4,126.96,31,,,Review
NL,Darshan Samani,Z005,PEOPLES JEWELERS-CANADA,Christie Byrd,LE503418KY-24,1/3 CTW LCD CHANDELIER EARRING GSI CB,20590998,18K,9/12/2024,0,60,0,37,8,15,4103.4,125.57,37,,,Review
NL,Darshan Samani,S019,STERLING INC. KAY,Tatyana Grant,LB351810KW-20,IAAP 4CTW LCD DIA LINK GENTS BRAC GSI TG,380925709,10K,8/26/2024,0,400,303,58,20,19,28232.86,124.9,60,,STM02052025,Review
