,Item_id,sales_qty,sales_amt,COGS,profit,Comments,Status,Performance_Category,style_category,profit_margin,Customer,Total_Qty,Brand,Closeout_Qty
0,B202710KW7.5-36-S,6.0,4953.84,4333.5,0.143149,SHARED WITH AAFES STORE,Active,Overstocked / Slow Moving,TB01,2.889657316344492e-05,A058,15.0,N/A,0.0
1,B203910KW-AA-S,6.0,3004.56,2307.02,0.302355,SHARED WITH AAFES STORE,Active,Hot Seller,TB01,0.0001006320393002,A058,1.0,N/A,0.0
2,B214010KW7.5-AA-S,2.0,1968.98,1861.46,0.057761,SHARED WITH AAFES STORE,Active,Overstocked / Slow Moving,BRACELET,2.9335493504250933e-05,A058,36.0,N/A,0.0
3,B214010KY7.5-AA-S,2.0,1442.82,1173.94,0.22904,SHARED WITH AAFES STORE                                              6 PCS IN CLOSEOUT,Active,Healthy,BRACELET,0.0001587446805561,A058,7.0,N/A,0.0
4,B214010KY7.5-AA-S,1.0,996.38,586.97,0.697497,SHARED WITH AAFES STORE                                              6 PCS IN CLOSEOUT,Active,Deadweight,BRACELET,0.0007000311126277,A058,7.0,N/A,0.0
5,B224410KY-AA-S,5.0,2477.0,2117.75,0.169637,SHARED WITH AAFES STORE,Active,Hot Seller,TB01,6.848486071861123e-05,A058,2.0,N/A,0.0
6,B228110KW-AA-S,4.0,796.0,711.78,0.118323,None,Active,Low Inventory,BRACELET,0.0001486469849246,A058,0.0,N/A,0.0
7,B2281SSPV-AA-S,11.0,660.44,550.22,0.200319,SHARED WITH AAFES STORE  ,Active,Hot Seller,BRACELET,0.0003033114287444,A058,3.0,N/A,0.0
8,B2281SSYV-AA-S,4.0,303.12,200.08,0.514994,SHARED WITH AAFES STORE,Active,Healthy,BRACELET,0.0016989773027183,A058,9.0,N/A,0.0
9,B230810KW-AA-S,3.0,930.0,780.63,0.191345,CLOSEOUT,Active,Low Inventory,BRACELET,0.0002057473118279,A058,2.0,N/A,0.0
10,B231810KW7.5L-AA-S,5.0,2754.05,2261.65,0.217717,CLOSEOUT,Active,Hot Seller,BRACELET,7.905339409233673e-05,A058,1.0,N/A,0.0
11,B231810KW7.5L-AA-S,4.0,2206.44,1969.6,0.120247,CLOSEOUT,Active,Low Inventory,BRACELET,5.4498196189336673e-05,A058,1.0,N/A,0.0
12,B231910KW8J-AA-S,1.0,1006.58,810.2,0.242384,None,Active,Review,BRACELET,0.0002407995390331,A058,0.0,N/A,0.0
13,B231914KW7.5H-AA-S,-1.0,-1706.03,-1399.06,0.219411,None,Active,Review,BRACELET,-0.000128609110039,A058,0.0,N/A,0.0
