Unnamed: 0,Item_id,sales_qty,sales_amt,COGS,profit,Comments,Status,Performance_Category,style_category,profit_margin,Customer,Total_Qty,Brand,Closeout_Qty,style_cd,onhand,stock,Inventory_Difference,profit_amt,profit_margin_pct
0,B203910KW-AA-S,6.0,3004.56,2307.02,0.302355,SHARED WITH AAFES STORE,Active,Hot Seller,TB01,0.0001006320393002,A058,1.0,,0.0,B203910KW-AA-S,1.0,1.0,0.0,697.54,23.216044945016908
1,B214010KY7.5-AA-S,2.0,1442.82,1173.94,0.22904,SHARED WITH AAFES STORE                                              6 PCS IN CLOSEOUT,Active,Healthy,BRACELET,0.0001587446805561,A058,7.0,,0.0,B214010KY7.5-AA-S,6.0,6.0,1.0,268.8799999999999,18.635727256345206
2,B214010KY7.5-AA-S,1.0,996.38,586.97,0.697497,SHARED WITH AAFES STORE                                              6 PCS IN CLOSEOUT,Active,Deadweight,BRACELET,0.0007000311126277,A058,7.0,,0.0,B214010KY7.5-AA-S,6.0,6.0,1.0,409.40999999999997,41.089744876452755
3,B2281SSYV-AA-S,4.0,303.12,200.08,0.514994,SHARED WITH AAFES STORE,Active,Healthy,BRACELET,0.0016989773027183,A058,9.0,,0.0,B2281SSYV-AA-S,1.0,1.0,8.0,103.03999999999999,33.99313803114278
4,B230810KW-AA-S,3.0,930.0,780.63,0.191345,CLOSEOUT,Active,Low Inventory,BRACELET,0.0002057473118279,A058,2.0,,0.0,B230810KW-AA-S,2.0,2.0,0.0,149.37,16.061290322580646
5,B231810KW7.5L-AA-S,5.0,2754.05,2261.65,0.217717,CLOSEOUT,Active,Hot Seller,BRACELET,7.905339409233673e-05,A058,1.0,,0.0,B231810KW7.5L-AA-S,1.0,1.0,0.0,492.4000000000001,17.87912347270384
6,B231810KW7.5L-AA-S,4.0,2206.44,1969.6,0.120247,CLOSEOUT,Active,Low Inventory,BRACELET,5.4498196189336673e-05,A058,1.0,,0.0,B231810KW7.5L-AA-S,1.0,1.0,0.0,236.84000000000015,10.734033103098211
7,B231914KW7.5H-AA-S,-1.0,-1706.03,-1399.06,0.219411,None,Active,Review,BRACELET,-0.000128609110039,A058,0.0,,0.0,B231914KW7.5H-AA-S,1.0,2.0,-1.0,-306.97,17.99323575787061
8,B232010KW7.5-AA-S,16.0,14372.58,13178.47,0.09061,SHARED WITH AAFES STORE,Active,Overstocked / Slow Moving,BRACELET,6.304365674082176e-06,A058,16.0,,0.0,B232010KW7.5-AA-S,1.0,1.0,15.0,1194.1100000000006,8.30825084988221
9,B232014KW7.5H-AA-S,1.0,2156.61,1770.2,0.218286,None,Active,Review,BRACELET,0.0001012171880868,A058,1.0,,0.0,B232014KW7.5H-AA-S,1.0,3.0,0.0,386.4100000000001,17.917472329257496
10,B232114KW7.5H-AA-S,2.0,9712.84,7965.94,0.219296,CLOSEOUT,Active,Healthy,BRACELET,2.257794836525671e-05,A058,4.0,,0.0,B232114KW7.5H-AA-S,5.0,5.0,-1.0,1746.9000000000005,17.985470778886512
11,B250510KW7.5-AA-S,1.0,950.92,761.95,0.248008,None,Active,Review,BRACELET,0.0002608084802086,A058,1.0,,0.0,B250510KW7.5-AA-S,1.0,1.0,0.0,188.9699999999999,19.872334160602357
12,B2577SS-36-S,1.0,210.0,162.3,0.2939,None,Active,Review,BRACELET,0.0013995238095238,A058,2.0,,0.0,B2577SS-36-S,2.0,2.0,0.0,47.69999999999999,22.714285714285708
13,B2662SS-AA-S,1.0,125.73,92.06,0.365739,None,Active,Review,BRACELET,0.0029089238845144,A058,1.0,,0.0,B2662SS-AA-S,1.0,1.0,0.0,33.67,26.779607094567726
14,B2665SS-AA-S,2.0,140.72,110.8,0.270036,None,Active,Healthy,BRACELET,0.0019189596361569,A058,1.0,,0.0,B2665SS-AA-S,1.0,1.0,0.0,29.92,21.262080727686186
15,B2666SS-AA-S,1.0,110.55,85.88,0.287261,None,Active,Review,BRACELET,0.0025984712799638,A058,1.0,,0.0,B2666SS-AA-S,1.0,1.0,0.0,24.67,22.315694255992767
16,B2669SSYV-AA-S,2.0,330.56,258.84,0.277082,None,Active,Healthy,BRACELET,0.0008382199903194,A058,1.0,,0.0,B2669SSYV-AA-S,1.0,1.0,0.0,71.72000000000003,21.69651500484028
17,B2670SSYV-AA-S,2.0,231.54,178.48,0.297288,None,Active,Healthy,BRACELET,0.0012839595750194,A058,1.0,,0.0,B2670SSYV-AA-S,1.0,1.0,0.0,53.06,22.916126803144167
18,B2670SSYV-AA-S,2.0,231.54,178.48,0.297288,None,Active,Healthy,BRACELET,0.0012839595750194,A058,1.0,,0.0,B2670SSYV-AA-S,1.0,1.0,0.0,53.06,22.916126803144167
